Provincia o comarca indigena;Sexo;CategorIa en la actividad econImica;Empleados;Menos de 100;100  -  124;125  -  174;175  -  249;250  -  399;400  -  599;600  -  799;800  -  999;1,000  - 1,499;1,500  - 1,999;2,000  - 2,999;3,000  y mas
Bocas del Toro;Hombre;Agricultura, ganaderia, silvicultura y pesca;5435;9;7;6;10;23;27;14;2;1;1;0;0
Bocas del Toro;Hombre;Explotacion de minas y canteras;55;0;0;0;0;0;0;0;0;100;0;0;0
Bocas del Toro;Hombre;Industria manufacturera - Articulos no durables;118;0;0;0;0;0;55;45;0;0;0;0;0
Bocas del Toro;Hombre;Industria manufacturera - Articulos durables;607;10;8;0;0;21;19;32;10;0;0;0;0
Bocas del Toro;Hombre;Suministro de electricidad, gas, vapor y aire acondicionado;344;0;0;0;0;0;0;16;51;15;18;0;0
Bocas del Toro;Hombre;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";245;0;0;0;0;0;26;23;51;0;0;0;0
Bocas del Toro;Hombre;Construccion;4609;10;10;13;10;16;16;17;6;1;0;1;0
Bocas del Toro;Hombre;Comercio al por mayor;530;10;0;0;13;21;24;22;11;0;0;0;0
Bocas del Toro;Hombre;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";1372;11;9;0;7;20;31;13;0;9;0;0;0
Bocas del Toro;Hombre;Transporte, almacenamiento y correo;767;23;0;8;0;18;5;31;15;0;0;0;0
Bocas del Toro;Hombre;Hoteles y restaurantes;1923;0;0;0;0;20;35;28;14;3;0;0;0
Bocas del Toro;Hombre;Informacion y comunicaciones;127;0;0;0;0;0;50;50;0;0;0;0;0
Bocas del Toro;Hombre;Actividades financieras y de seguros;174;0;0;0;0;0;30;0;33;37;0;0;0
Bocas del Toro;Hombre;Actividades inmobiliarias;60;0;0;0;0;0;100;0;0;0;0;0;0
Bocas del Toro;Hombre;Actividades profesionales, cientificas y tecnicas;102;56;0;0;0;0;0;0;0;0;0;0;44
Bocas del Toro;Hombre;Actividades de servicios administrativos y de apoyo;670;0;0;9;0;8;7;49;28;0;0;0;0
Bocas del Toro;Hombre;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";2311;0;0;0;0;0;2;21;24;35;7;10;0
Bocas del Toro;Hombre;Ensenanza;1733;0;3;0;4;0;3;25;0;13;45;7;0
Bocas del Toro;Hombre;Servicios sociales y relacionados con la salud;741;0;0;0;0;0;9;9;24;18;33;0;6
Bocas del Toro;Hombre;Artes, entretenimiento y creatividad;160;0;0;0;0;31;0;69;0;0;0;0;0
Bocas del Toro;Hombre;Otras actividades de servicios;281;0;17;0;0;40;0;23;20;0;0;0;0
Bocas del Toro;Hombre;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;561;20;31;10;19;20;0;0;0;0;0;0;0
Bocas del Toro;Hombre;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Bocas del Toro;Mujer;Agricultura, ganaderia, silvicultura y pesca;60;0;100;0;0;0;0;0;0;0;0;0;0
Bocas del Toro;Mujer;Explotacion de minas y canteras;0;0;0;0;0;0;0;0;0;0;0;0;0
Bocas del Toro;Mujer;Industria manufacturera - Articulos no durables;90;0;0;0;0;0;100;0;0;0;0;0;0
Bocas del Toro;Mujer;Industria manufacturera - Articulos durables;0;0;0;0;0;0;0;0;0;0;0;0;0
Bocas del Toro;Mujer;Suministro de electricidad, gas, vapor y aire acondicionado;0;0;0;0;0;0;0;0;0;0;0;0;0
Bocas del Toro;Mujer;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";0;0;0;0;0;0;0;0;0;0;0;0;0
Bocas del Toro;Mujer;Construccion;0;0;0;0;0;0;0;0;0;0;0;0;0
Bocas del Toro;Mujer;Comercio al por mayor;110;0;0;0;0;0;0;50;0;50;0;0;0
Bocas del Toro;Mujer;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";981;0;12;0;7;16;38;22;0;6;0;0;0
Bocas del Toro;Mujer;Transporte, almacenamiento y correo;147;0;0;0;29;0;0;71;0;0;0;0;0
Bocas del Toro;Mujer;Hoteles y restaurantes;1534;2;4;5;3;27;27;21;10;0;0;0;0
Bocas del Toro;Mujer;Informacion y comunicaciones;0;0;0;0;0;0;0;0;0;0;0;0;0
Bocas del Toro;Mujer;Actividades financieras y de seguros;253;0;0;0;0;0;0;50;26;24;0;0;0
Bocas del Toro;Mujer;Actividades inmobiliarias;185;0;0;0;0;32;0;40;28;0;0;0;0
Bocas del Toro;Mujer;Actividades profesionales, cientificas y tecnicas;0;0;0;0;0;0;0;0;0;0;0;0;0
Bocas del Toro;Mujer;Actividades de servicios administrativos y de apoyo;57;0;0;0;0;0;0;100;0;0;0;0;0
Bocas del Toro;Mujer;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";2153;0;0;0;6;0;11;14;22;21;11;5;10
Bocas del Toro;Mujer;Ensenanza;4445;0;0;0;1;0;1;8;5;25;36;23;0
Bocas del Toro;Mujer;Servicios sociales y relacionados con la salud;852;0;0;0;0;0;6;13;7;48;14;6;6
Bocas del Toro;Mujer;Artes, entretenimiento y creatividad;64;0;0;0;0;0;0;0;100;0;0;0;0
Bocas del Toro;Mujer;Otras actividades de servicios;103;0;0;0;0;50;0;50;0;0;0;0;0
Bocas del Toro;Mujer;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;2256;14;11;24;26;15;8;2;0;0;0;0;0
Bocas del Toro;Mujer;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Cocle;Hombre;Agricultura, ganaderia, silvicultura y pesca;7107;11;11;16;9;12;17;16;4;2;1;0;0
Cocle;Hombre;Explotacion de minas y canteras;338;0;0;0;0;0;0;0;43;23;0;0;34
Cocle;Hombre;Industria manufacturera - Articulos no durables;3590;0;5;0;0;0;25;61;2;0;0;7;0
Cocle;Hombre;Industria manufacturera - Articulos durables;500;0;0;0;0;46;54;0;0;0;0;0;0
Cocle;Hombre;Suministro de electricidad, gas, vapor y aire acondicionado;277;0;0;0;0;0;0;38;62;0;0;0;0
Cocle;Hombre;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";0;0;0;0;0;0;0;0;0;0;0;0;0
Cocle;Hombre;Construccion;4395;0;2;2;14;10;34;20;12;5;0;0;0
Cocle;Hombre;Comercio al por mayor;2541;0;0;4;0;0;8;55;18;5;10;0;0
Cocle;Hombre;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";3382;5;2;2;7;9;17;47;6;2;0;0;4
