Area, provincia, comarca indigena;Condicion en la actividad economica;Hombres - Octubre (R) 2024;Mujeres - Octubre(R) 2024;Hombres - Septiembre 2025;Mujeres - Septiembre 2025
Urbana;Inactivos puros - Jubilado o pensionado;124525;153984;137184;158698
Urbana;Inactivos puros - Estudiante;113447;132714;116276;139483
Urbana;Inactivos puros - Ama de casa o trabajador del hogar;11437;215311;12472;238017
Urbana;Inactivos puros - Otra condicion;48674;57477;47634;48764
Urbana;Han trabajado antes - Jubilado o pensionado;3128;4794;893;1352
Urbana;Han trabajado antes - Estudiante;2680;5492;338;751
Urbana;Han trabajado antes - Ama de casa o trabajador del hogar;1621;22045;0;4827
Urbana;Han trabajado antes - Otra condicion;1480;3039;501;116
Urbana;Nunca han trabajado - Estudiante;11679;10749;7561;9291
Urbana;Nunca han trabajado - Ama de casa o trabajador del hogar;203;7856;370;4407
Urbana;Nunca han trabajado - Otra condicion;873;942;565;526
Rural;Inactivos puros - Jubilado o pensionado;21799;13981;21592;14060
Rural;Inactivos puros - Estudiante;30841;43003;29718;40662
Rural;Inactivos puros - Ama de casa o trabajador del hogar;3085;115407;5715;131210
Rural;Inactivos puros - Otra condicion;24071;25937;23495;24046
Rural;Han trabajado antes - Jubilado o pensionado;560;95;166;0
Rural;Han trabajado antes - Estudiante;1111;1805;482;654
Rural;Han trabajado antes - Ama de casa o trabajador del hogar;144;9065;166;3843
Rural;Han trabajado antes - Otra condicion;996;720;296;305
Rural;Nunca han trabajado - Estudiante;3289;4154;1751;3523
Rural;Nunca han trabajado - Ama de casa o trabajador del hogar;25;5937;244;4722
Rural;Nunca han trabajado - Otra condicion;540;149;623;296
Bocas del Toro;Inactivos puros - Jubilado o pensionado;4866;1397;5681;2168
Bocas del Toro;Inactivos puros - Estudiante;4890;6154;5927;7491
Bocas del Toro;Inactivos puros - Ama de casa o trabajador del hogar;284;12857;183;16344
Bocas del Toro;Inactivos puros - Otra condicion;2034;1797;2331;2450
Bocas del Toro;Han trabajado antes - Jubilado o pensionado;82;0;71;0
Bocas del Toro;Han trabajado antes - Estudiante;423;471;293;390
Bocas del Toro;Han trabajado antes - Ama de casa o trabajador del hogar;172;2096;0;1650
Bocas del Toro;Han trabajado antes - Otra condicion;344;91;296;251
Bocas del Toro;Nunca han trabajado - Estudiante;1082;1735;428;736
Bocas del Toro;Nunca han trabajado - Ama de casa o trabajador del hogar;0;1170;181;1306
Bocas del Toro;Nunca han trabajado - Otra condicion;109;201;246;63
Cocle;Inactivos puros - Jubilado o pensionado;7738;8218;6965;8788
Cocle;Inactivos puros - Estudiante;6122;8891;5640;8995
Cocle;Inactivos puros - Ama de casa o trabajador del hogar;525;16324;619;19563
Cocle;Inactivos puros - Otra condicion;4292;6420;5600;5881
Cocle;Han trabajado antes - Jubilado o pensionado;0;0;0;0
Cocle;Han trabajado antes - Estudiante;169;235;0;138
Cocle;Han trabajado antes - Ama de casa o trabajador del hogar;163;1362;66;501
Cocle;Han trabajado antes - Otra condicion;0;73;0;74
Cocle;Nunca han trabajado - Estudiante;1190;612;245;402
Cocle;Nunca han trabajado - Ama de casa o trabajador del hogar;0;1331;0;257
Cocle;Nunca han trabajado - Otra condicion;0;0;73;112
Colon;Inactivos puros - Jubilado o pensionado;9665;7060;9074;6829
Colon;Inactivos puros - Estudiante;11399;15034;10786;12502
Colon;Inactivos puros - Ama de casa o trabajador del hogar;1449;24748;862;26700
Colon;Inactivos puros - Otra condicion;2445;1881;2749;2214
Colon;Han trabajado antes - Jubilado o pensionado;0;0;0;112
Colon;Han trabajado antes - Estudiante;233;404;0;106
Colon;Han trabajado antes - Ama de casa o trabajador del hogar;189;2463;0;1624
Colon;Han trabajado antes - Otra condicion;66;0;0;0
Colon;Nunca han trabajado - Estudiante;964;1341;626;826
Colon;Nunca han trabajado - Ama de casa o trabajador del hogar;80;2087;170;1127
Colon;Nunca han trabajado - Otra condicion;89;0;82;0
Chiriqui;Inactivos puros - Jubilado o pensionado;14016;19167;16485;18171
Chiriqui;Inactivos puros - Estudiante;14462;15515;14155;20664
Chiriqui;Inactivos puros - Ama de casa o trabajador del hogar;1450;35501;3900;40172
Chiriqui;Inactivos puros - Otra condicion;7667;9218;6475;9385
Chiriqui;Han trabajado antes - Jubilado o pensionado;492;255;95;0
Chiriqui;Han trabajado antes - Estudiante;791;1269;175;0
Chiriqui;Han trabajado antes - Ama de casa o trabajador del hogar;163;3230;100;1204
Chiriqui;Han trabajado antes - Otra condicion;285;448;0;0
Chiriqui;Nunca han trabajado - Estudiante;1310;2545;788;1402
Chiriqui;Nunca han trabajado - Ama de casa o trabajador del hogar;0;1785;0;1411
Chiriqui;Nunca han trabajado - Otra condicion;95;302;193;0
Darien;Inactivos puros - Jubilado o pensionado;107;250;290;387
Darien;Inactivos puros - Estudiante;1754;2053;1446;1853
Darien;Inactivos puros - Ama de casa o trabajador del hogar;29;4474;55;5060
Darien;Inactivos puros - Otra condicion;831;899;1093;893
Darien;Han trabajado antes - Jubilado o pensionado;30;0;0;0
Darien;Han trabajado antes - Estudiante;0;175;0;185
Darien;Han trabajado antes - Ama de casa o trabajador del hogar;0;542;0;469
Darien;Han trabajado antes - Otra condicion;65;0;0;31
Darien;Nunca han trabajado - Estudiante;188;379;112;86
Darien;Nunca han trabajado - Ama de casa o trabajador del hogar;25;597;0;354
Darien;Nunca han trabajado - Otra condicion;0;36;36;26
Herrera;Inactivos puros - Jubilado o pensionado;4508;5059;4968;5264
Herrera;Inactivos puros - Estudiante;3848;5132;2936;3952
Herrera;Inactivos puros - Ama de casa o trabajador del hogar;525;13551;1123;12231
Herrera;Inactivos puros - Otra condicion;2027;1635;2454;2110
Herrera;Han trabajado antes - Jubilado o pensionado;0;0;0;0
Herrera;Han trabajado antes - Estudiante;100;55;37;61
Herrera;Han trabajado antes - Ama de casa o trabajador del hogar;0;522;0;270
Herrera;Han trabajado antes - Otra condicion;0;121;0;0
Herrera;Nunca han trabajado - Estudiante;312;38;212;226
Herrera;Nunca han trabajado - Ama de casa o trabajador del hogar;0;122;60;354
Herrera;Nunca han trabajado - Otra condicion;0;0;64;64
Los Santos;Inactivos puros - Jubilado o pensionado;3181;3632;3122;3601
Los Santos;Inactivos puros - Estudiante;2915;3473;2652;2706
Los Santos;Inactivos puros - Ama de casa o trabajador del hogar;463;7201;775;7707
Los Santos;Inactivos puros - Otra condicion;2640;2605;2024;2506
Los Santos;Han trabajado antes - Jubilado o pensionado;28;139;0;136
Los Santos;Han trabajado antes - Estudiante;50;267;0;0
Los Santos;Han trabajado antes - Ama de casa o trabajador del hogar;53;734;0;71
Los Santos;Han trabajado antes - Otra condicion;25;25;0;0
Los Santos;Nunca han trabajado - Estudiante;25;218;124;193
Los Santos;Nunca han trabajado - Ama de casa o trabajador del hogar;0;315;0;200
Los Santos;Nunca han trabajado - Otra condicion;0;0;0;0
Panama;Inactivos puros - Jubilado o pensionado;71135;87981;78318;92644
Panama;Inactivos puros - Estudiante;59887;70589;64788;74954
Panama;Inactivos puros - Ama de casa o trabajador del hogar;7731;118580;6094;139506
Panama;Inactivos puros - Otra condicion;25191;30734;23129;22178
Panama;Han trabajado antes - Jubilado o pensionado;2435;3741;308;1104
Panama;Han trabajado antes - Estudiante;1605;2272;0;251
Panama;Han trabajado antes - Ama de casa o trabajador del hogar;349;11056;0;1976
Panama;Han trabajado antes - Otra condicion;765;1606;244;0
Panama;Nunca han trabajado - Estudiante;6280;5587;3674;4733
Panama;Nunca han trabajado - Ama de casa o trabajador del hogar;123;2700;121;850
Panama;Nunca han trabajado - Otra condicion;482;0;0;315
Panama Oeste;Inactivos puros - Jubilado o pensionado;24493;28324;27094;29372
Panama Oeste;Inactivos puros - Estudiante;26220;31475;23736;28848
Panama Oeste;Inactivos puros - Ama de casa o trabajador del hogar;1221;57132;2378;55182
Panama Oeste;Inactivos puros - Otra condicion;15823;17535;16130;16099
Panama Oeste;Han trabajado antes - Jubilado o pensionado;542;754;585;0
Panama Oeste;Han trabajado antes - Estudiante;213;1187;0;0
Panama Oeste;Han trabajado antes - Ama de casa o trabajador del hogar;515;7009;0;503
Panama Oeste;Han trabajado antes - Otra condicion;700;1062;257;0
Panama Oeste;Nunca han trabajado - Estudiante;2187;1163;1875;2987
Panama Oeste;Nunca han trabajado - Ama de casa o trabajador del hogar;0;2090;0;1721
Panama Oeste;Nunca han trabajado - Otra condicion;612;412;314;0
Veraguas;Inactivos puros - Jubilado o pensionado;5907;6516;6369;5238
Veraguas;Inactivos puros - Estudiante;8459;8845;8522;9375
Veraguas;Inactivos puros - Ama de casa o trabajador del hogar;824;22004;1329;25155
Veraguas;Inactivos puros - Otra condicion;7011;6926;6693;5631
Veraguas;Han trabajado antes - Jubilado o pensionado;79;0;0;0
Veraguas;Han trabajado antes - Estudiante;207;924;0;91
Veraguas;Han trabajado antes - Ama de casa o trabajador del hogar;161;1830;0;0
Veraguas;Han trabajado antes - Otra condicion;212;307;0;65
Veraguas;Nunca han trabajado - Estudiante;885;1013;710;703
Veraguas;Nunca han trabajado - Ama de casa o trabajador del hogar;0;526;82;642
Veraguas;Nunca han trabajado - Otra condicion;0;140;127;137
Comarca Kuna Yala;Inactivos puros - Jubilado o pensionado;149;126;147;40
Comarca Kuna Yala;Inactivos puros - Estudiante;768;1343;354;819
Comarca Kuna Yala;Inactivos puros - Ama de casa o trabajador del hogar;21;2888;92;1695
Comarca Kuna Yala;Inactivos puros - Otra condicion;873;810;459;678
Comarca Kuna Yala;Han trabajado antes - Jubilado o pensionado;0;0;0;0
Comarca Kuna Yala;Han trabajado antes - Estudiante;0;26;21;14
Comarca Kuna Yala;Han trabajado antes - Ama de casa o trabajador del hogar;0;89;0;138
Comarca Kuna Yala;Han trabajado antes - Otra condicion;14;26;0;0
Comarca Kuna Yala;Nunca han trabajado - Estudiante;146;83;93;70
Comarca Kuna Yala;Nunca han trabajado - Ama de casa o trabajador del hogar;0;115;0;102
Comarca Kuna Yala;Nunca han trabajado - Otra condicion;26;0;43;95
Comarca Embera;Inactivos puros - Jubilado o pensionado;0;0;0;0
Comarca Embera;Inactivos puros - Estudiante;76;140;155;161
Comarca Embera;Inactivos puros - Ama de casa o trabajador del hogar;0;258;9;307
Comarca Embera;Inactivos puros - Otra condicion;33;71;83;57
Comarca Embera;Han trabajado antes - Jubilado o pensionado;0;0;0;0
Comarca Embera;Han trabajado antes - Estudiante;0;12;0;20
Comarca Embera;Han trabajado antes - Ama de casa o trabajador del hogar;0;9;0;8
Comarca Embera;Han trabajado antes - Otra condicion;0;0;0;0
Comarca Embera;Nunca han trabajado - Estudiante;17;37;21;18
Comarca Embera;Nunca han trabajado - Ama de casa o trabajador del hogar;0;22;0;29
Comarca Embera;Nunca han trabajado - Otra condicion;0;0;10;10
Comarca Ngabe Bugle;Inactivos puros - Jubilado o pensionado;559;235;263;256
Comarca Ngabe Bugle;Inactivos puros - Estudiante;3488;7073;4897;7825
Comarca Ngabe Bugle;Inactivos puros - Ama de casa o trabajador del hogar;0;15200;768;19605
Comarca Ngabe Bugle;Inactivos puros - Otra condicion;1878;2883;1909;2728
Comarca Ngabe Bugle;Han trabajado antes - Jubilado o pensionado;0;0;0;0
Comarca Ngabe Bugle;Han trabajado antes - Estudiante;0;0;294;149
Comarca Ngabe Bugle;Han trabajado antes - Ama de casa o trabajador del hogar;0;168;0;256
Comarca Ngabe Bugle;Han trabajado antes - Otra condicion;0;0;0;0
Comarca Ngabe Bugle;Nunca han trabajado - Estudiante;382;152;404;432
Comarca Ngabe Bugle;Nunca han trabajado - Ama de casa o trabajador del hogar;0;933;0;776
Comarca Ngabe Bugle;Nunca han trabajado - Otra condicion;0;0;0;0
