provincia y comarca indigena;sexo;Poblacion ocupada no agricola 2024;empleo informal en empresas del sector formal 2024;empleo informal en empresas del sector informal 2024;Hogares 2024;Poblacion ocupada no agricola 2025;empleo informal en empresas del sector formal 2025;empleo informal en empresas del sector informal 2025;Hogares 2025
Bocas del Toro;Hombres;28478;1862;16342;366;27237;2769;13789;612
Coclé;Hombres;50412;1441;25510;1221;53122;2574;26759;1307
Colón;Hombres;59773;4818;21823;110;64925;5825;22063;73
Chiriquí;Hombres;86908;5925;42060;944;82216;6607;36376;936
Darién;Hombres;6897;404;3745;0;6914;375;3837;0
Herrera;Hombres;23521;1849;10484;155;23657;1578;10814;182
Los Santos;Hombres;16717;1354;8299;211;15832;978;9015;215
Panamá;Hombres;401549;43265;128107;3090;412797;36203;133956;1950
Panamá Oeste;Hombres;169550;11831;69679;2680;171030;11624;70977;2561
Veraguas;Hombres;37171;2418;15855;330;36368;912;16817;244
Com. Kuna Yala;Hombres;2440;517;1583;18;2536;817;1435;0
Com. Emberá;Hombres;408;11;235;0;327;10;127;0
Com. Ngäbe Buglé;Hombres;10380;808;5301;0;9780;409;6543;142
Bocas del Toro;Mujeres;26988;1182;13333;2491;24744;1011;11873;2130
Coclé;Mujeres;40545;1777;15961;4782;40836;1626;15909;5268
Colón;Mujeres;46426;2491;18066;2120;50402;2465;20205;1959
Chiriquí;Mujeres;69575;3796;23403;8099;67428;4431;23098;7435
Darién;Mujeres;8581;395;5689;441;7934;428;5318;145
Herrera;Mujeres;18470;733;6941;1555;18965;765;6304;1655
Los Santos;Mujeres;16034;777;6175;1491;17074;319;7187;1720
Panamá;Mujeres;335136;27632;80155;32797;343970;25430;73928;38756
Panamá Oeste;Mujeres;124783;7074;34864;11471;140166;5434;42015;16743
Veraguas;Mujeres;30484;1169;8299;2748;29841;805;10685;3274
Com. Kuna Yala;Mujeres;4671;573;3958;51;6672;674;5800;24
Com. Emberá;Mujeres;651;20;555;10;647;0;568;9
Com. Ngäbe Buglé;Mujeres;10651;423;7750;548;10312;0;7622;561
